NomePessoa,Empresa,Valor,Data,Categoria
Justin Jimenez,Wong-Weber,530.37,2024-04-10,Lazer
Mark Jacobs,Holmes-Kennedy,1605.43,2023-09-02,Transporte
Andrew Marquez,Stevenson PLC,735.38,2023-06-30,Educação
Shawn Dominguez,Cameron-Black,1085.33,2024-03-06,Vestuário
Brian Ruiz,"Medina, Barnes and Greene",1389.47,2024-02-22,Lazer
William Dawson,Scott-Flowers,1656.62,2024-02-21,Educação
Christopher Hammond,Scott-Flowers,1081.17,2023-08-28,Eletrônicos
Jennifer Wilkerson,Swanson and Sons,1962.21,2024-06-06,Outros
Kevin Gardner,Thompson PLC,956.72,2024-08-04,Lazer
Dillon Dawson,"Medina, Barnes and Greene",1616.43,2024-06-10,Educação
Maria Gilmore,Mcdonald-Boyle,703.2,2023-12-06,Outros
Jimmy Wood,Montes Inc,1970.3,2025-02-17,Moradia
Olivia Grant,"Fitzpatrick, Jones and Morgan",1152.78,2024-04-21,Alimentação
Jeanette Hill,Miller-Owens,1241.42,2025-04-10,Moradia
Michael Wong,Walker and Sons,878.01,2024-08-09,Eletrônicos
Laura Ward,"Gomez, Diaz and Williams",1124.32,2024-05-22,Outros
Michael Jones,Sims Ltd,124.52,2025-01-02,Lazer
Philip Sullivan,"Johnson, Allison and Acevedo",1736.48,2024-08-17,Eletrônicos
Eric Serrano,"Nguyen, Frazier and Young",1367.19,2024-09-03,Vestuário
Monica Fitzpatrick,"Smith, Reed and Figueroa",1440.55,2025-03-08,Saúde
Aaron Nichols,"Smith, Mckinney and Hoover",1794.09,2023-07-15,Alimentação
Heather Castro,"Cantrell, Martin and Preston",1199.5,2024-12-31,Transporte
Rachel Gillespie,Hernandez-Fox,1531.09,2024-04-20,Eletrônicos
Michael Montgomery MD,Kelley LLC,438.26,2025-02-28,Moradia
Larry Patton,Kelley LLC,1081.41,2024-08-03,Saúde
Lisa Lopez,Stevenson PLC,472.8,2023-11-15,Outros
Victoria Jones,Williams LLC,820.21,2023-07-01,Outros
Terri Davis,Torres-Rivera,1177.88,2024-04-14,Alimentação
Vanessa Bowen,Morris-Clark,1223.09,2023-09-22,Lazer
Mark Walker,Kelley LLC,248.17,2025-03-31,Vestuário
Amanda Jackson,"Nguyen, Frazier and Young",136.62,2023-10-19,Transporte
Vanessa Scott,Oneill-Scott,330.8,2024-05-08,Educação
Angela Kirby,"Jacobson, Fritz and Owen",1959.77,2024-12-17,Eletrônicos
Kathleen Butler,"Francis, Bell and Foster",370.66,2023-09-19,Moradia
Vanessa Scott,Oneill-Scott,247.81,2024-12-07,Vestuário
Jose Day,Martin PLC,1892.83,2024-09-13,Transporte
Courtney Jennings,"Smith, Guzman and Brown",821.07,2023-11-26,Moradia
Courtney Mcdaniel,"Rowland, Brock and Garcia",1696.06,2025-03-11,Eletrônicos
Jennifer Wilkerson,Swanson and Sons,629.28,2024-02-05,Eletrônicos
Kevin Gardner,Thompson PLC,866.42,2025-03-21,Saúde
Aaron Powers,"Cantrell, Martin and Preston",190.56,2025-03-27,Saúde
Ryan Smith,Roberts Ltd,409.21,2024-04-19,Lazer
Keith Obrien,Sanders LLC,1269.68,2024-03-13,Lazer
James Smith,Solomon-Miller,1506.11,2023-11-25,Outros
Becky White,Mcdaniel-Key,50.6,2024-01-20,Alimentação
Michael Green,"Smith, Guzman and Brown",127.7,2023-09-16,Lazer
Jose Day,Martin PLC,345.34,2025-05-05,Outros
Jason Ramos,Swanson and Sons,19.28,2024-11-08,Transporte
Samantha Gross,Smith-Davis,65.03,2024-09-27,Lazer
James Hall,Woods-Munoz,148.08,2024-10-04,Eletrônicos
Matthew Smith,Stuart-Camacho,1276.6,2025-06-10,Moradia
Eric Bruce,Morris-Clark,1075.08,2024-05-14,Lazer
Jennifer Wilkerson,Swanson and Sons,1745.47,2024-10-17,Eletrônicos
Kristina Brady,"Medina, Barnes and Greene",754.59,2023-08-31,Eletrônicos
Christopher Miller,Torres-Rivera,886.99,2025-06-13,Eletrônicos
William White,Sims Ltd,306.21,2024-12-10,Moradia
Tina Wood,Sims Ltd,1247.94,2024-06-02,Outros
Michael Wolfe,"Huynh, Black and Barajas",1916.48,2023-10-06,Vestuário
Judith Huang,Nguyen-Brewer,1869.15,2024-08-18,Saúde
Sean Fischer,"Newton, Kirk and Collins",704.62,2025-02-13,Eletrônicos
Michael Wong,Walker and Sons,1041.79,2023-07-13,Vestuário
Dr. Patricia Dunn,Mcdonald-Boyle,394.39,2024-02-01,Eletrônicos
Michael Hill,Stevenson PLC,1840.8,2023-07-16,Moradia
Sherry Lucas,Wright-Miller,1320.39,2024-09-01,Transporte
Drew Hines,Robinson-Valentine,901.39,2023-10-24,Vestuário
Brian Holder,"Huynh, Black and Barajas",1113.38,2023-07-26,Lazer
Megan Taylor,Smith-Davis,737.73,2024-06-28,Educação
Tina Schwartz,"Lee, Jackson and Patel",1637.0,2023-12-28,Educação
Thomas Moreno,Fuller-Lopez,814.53,2025-04-14,Lazer
Christian Dudley,Fuller-Lopez,1834.05,2024-07-20,Moradia
Zachary Morrow,Kennedy Ltd,1688.77,2024-05-20,Vestuário
Patricia West,Kelley LLC,1044.49,2023-12-12,Lazer
Adam Mosley,Stuart-Camacho,1059.4,2025-06-04,Outros
Vanessa Peterson,Jordan-Odom,794.43,2025-03-07,Outros
Wanda Nolan,Scott-Flowers,409.85,2024-08-13,Lazer
Angela Evans,Rivera-Graham,901.33,2024-05-18,Educação
Eric Robertson,Craig-Martinez,1889.05,2024-10-06,Transporte
Dustin Cherry DDS,"Gomez, Diaz and Williams",875.93,2024-12-18,Vestuário
Emma Hodge,Craig-Martinez,57.43,2024-10-25,Vestuário
Fred Gonzales,Gould-Walker,1126.89,2025-02-16,Transporte
Samantha Gross,Smith-Davis,1000.25,2024-06-04,Saúde
Carlos Brown,"Medina, Barnes and Greene",1371.26,2024-02-03,Alimentação
Rachel Jones,Walker and Sons,1664.2,2024-04-18,Educação
Victoria Jones,Williams LLC,187.48,2025-01-28,Outros
Brianna Mccullough,"Nguyen, Frazier and Young",1285.46,2025-05-10,Alimentação
Natasha Hernandez,Stevenson PLC,65.65,2024-04-23,Saúde
Christopher Saunders,Riley PLC,384.6,2023-07-19,Outros
William Lin,Jarvis-Rodgers,1649.25,2024-06-17,Transporte
Brian Kirk,Walsh Group,1021.67,2024-06-02,Eletrônicos
Alexander Buckley,Gilbert Ltd,747.94,2024-12-08,Alimentação
Adam Mosley,Stuart-Camacho,436.84,2023-12-13,Moradia
Lee Garcia,Smith-Davis,379.55,2024-11-05,Educação
James Brown,Rivera-Graham,647.42,2025-04-09,Educação
Jennifer Stevens,Douglas Inc,421.41,2024-05-24,Alimentação
Dennis Wilson,"Francis, Bell and Foster",1844.95,2024-11-16,Educação
Sandra Whitehead,"Smith, Reed and Figueroa",1381.89,2024-02-18,Saúde
Michael Suarez,Fuller-Lopez,1809.75,2025-04-19,Lazer
Tanya Murphy,Martin-Anderson,1974.3,2023-08-20,Educação
Andrea Black,Lambert-Kelley,1835.99,2023-10-19,Transporte
Cynthia Gutierrez,Williamson-Powell,320.3,2025-06-10,Educação
Stacy Jacobson,Ward LLC,1340.38,2024-05-29,Transporte
Terri Davis,Torres-Rivera,1145.37,2025-06-07,Saúde
Donna White,"Johnson, Allison and Acevedo",1881.14,2023-08-10,Saúde
Angel Smith,Lambert-Kelley,1383.66,2024-05-23,Transporte
Johnny Williams,"Bennett, Acevedo and Rogers",833.14,2024-02-26,Saúde
Adrian Carpenter,Woods-Munoz,1803.14,2024-10-25,Moradia
Lee Walker,Stuart-Camacho,1204.26,2025-04-27,Transporte
Natasha Benson,Carrillo Inc,1395.04,2024-11-19,Moradia
Rachel Davis,"Garcia, Williams and Sullivan",1329.3,2023-10-22,Educação
Aaron Jones,Lopez Ltd,1278.82,2023-07-24,Vestuário
Meghan Snow,Martin-Anderson,1805.41,2024-08-02,Moradia
Misty Brewer,Gould-Walker,374.88,2025-02-03,Lazer
Antonio Nelson,Cameron-Black,1887.57,2023-07-16,Saúde
Ashley Russell,Carr LLC,1365.0,2025-01-13,Transporte
Danielle Wiley,Smith-Davis,1077.16,2025-05-14,Saúde
Donald Oliver,Oneill-Scott,1144.52,2025-04-29,Vestuário
Veronica Huber,Jordan-Odom,247.61,2024-03-03,Educação
Lee Garcia,Smith-Davis,182.14,2024-12-08,Moradia
Martin Williams,Jones-Boyd,262.96,2024-11-07,Alimentação
Laura Bryant,Shaffer Ltd,962.85,2024-07-06,Vestuário
Bryan Jackson,Mullins-Zimmerman,85.68,2025-04-06,Transporte
Lisa Smith,Young-Fuentes,176.38,2025-03-18,Vestuário
James Gallegos,Carr LLC,877.54,2023-08-31,Lazer
Jamie Watkins,Miller-Owens,1479.31,2024-08-01,Moradia
Abigail Santos,"Jacobson, Fritz and Owen",1540.56,2024-01-15,Outros
Nicole Reilly MD,Ward and Sons,1949.27,2023-10-07,Educação
Karen Schmitt,"Rogers, Krueger and Little",642.66,2024-08-06,Alimentação
Aaron Nichols,"Smith, Mckinney and Hoover",313.89,2024-03-18,Saúde
James Miller,Lutz-Welch,359.3,2024-02-23,Moradia
Martin Williams,Jones-Boyd,1804.11,2023-07-16,Alimentação
Eric Alvarado,Torres-Rivera,766.27,2023-09-23,Saúde
Natalie Higgins,Young-Fuentes,136.66,2025-04-15,Eletrônicos
James Parker,Thompson PLC,396.73,2024-08-29,Moradia
Mary Hayes,Hale-Dean,1743.96,2023-07-31,Vestuário
Adrian Carpenter,Woods-Munoz,499.09,2024-02-09,Outros
Christopher Everett,Byrd-Smith,1118.14,2024-05-08,Eletrônicos
Alexander Wheeler,Payne Group,1928.71,2024-08-16,Alimentação
Stephen Jackson,"Johnson, Allison and Acevedo",1372.68,2024-04-12,Transporte
Theodore Carter,Nguyen-Brewer,1073.2,2023-12-12,Eletrônicos
Katherine Bell,"Morris, Serrano and Lewis",1866.27,2024-05-06,Lazer
Victor Malone,Douglas Inc,295.54,2024-08-20,Vestuário
Todd White,West-Bryant,474.99,2024-12-13,Transporte
Thomas Scott,"Jacobson, Fritz and Owen",1129.8,2023-12-29,Transporte
Steven Martinez,"Jacobson, Fritz and Owen",1138.24,2024-03-25,Educação
Deborah Davis,Mcdonald-Boyle,1260.29,2024-11-25,Outros
Ronald Park,Cross LLC,49.39,2025-01-21,Moradia
Jackie Nelson,Craig-Martinez,1147.27,2024-04-02,Transporte
Jennifer Palmer,"Medina, Barnes and Greene",1374.36,2024-04-16,Transporte
Michelle Bentley,Jordan-Odom,1821.38,2024-03-07,Educação
Amanda Brown,"Jacobson, Fritz and Owen",986.22,2023-10-12,Saúde
James Wright,Gilbert Ltd,1960.46,2023-06-26,Moradia
Willie Hunt II,Hill-Young,1839.66,2024-01-17,Eletrônicos
Lori Jennings,Carr LLC,1077.54,2025-01-27,Lazer
Robert White,Williamson-Powell,297.37,2023-09-09,Eletrônicos
Tonya Mcgee,"Medina, Barnes and Greene",1935.07,2024-02-22,Saúde
Dana Kemp,Oneill-Scott,329.03,2023-10-19,Alimentação
Richard May,Oneill-Scott,1612.85,2024-03-08,Eletrônicos
Natasha Benson,Carrillo Inc,925.26,2024-01-13,Outros
Paul Anderson,Scott-Flowers,461.7,2024-03-25,Transporte
Matthew Oneill,Montes Inc,1681.87,2025-03-01,Lazer
Terry Garcia,"Werner, Olsen and Adams",1884.34,2024-02-01,Transporte
Scott Martin MD,White-Johnson,841.27,2024-07-27,Moradia
Christopher Davenport,Hernandez-Fox,1905.22,2024-08-17,Moradia
Miranda Nicholson,"Morris, Serrano and Lewis",682.22,2025-02-20,Transporte
William Mitchell,Kennedy Ltd,1449.38,2024-01-21,Educação
Michael Hubbard,Jarvis-Rodgers,441.75,2025-05-31,Educação
Edward Hardy,"Huynh, Black and Barajas",397.26,2024-01-15,Lazer
Sandra Whitehead,"Smith, Reed and Figueroa",932.12,2024-11-16,Transporte
Daniel Henderson,West-Bryant,1291.56,2024-10-23,Educação
Catherine Jacobs,Gomez-Gonzalez,291.25,2024-08-01,Vestuário
Jamie Price,Jones-Woods,1307.95,2024-10-15,Saúde
Jacqueline Mclaughlin,"Jacobson, Fritz and Owen",1667.45,2024-06-16,Transporte
William Lin,Jarvis-Rodgers,406.83,2025-01-22,Lazer
Thomas Hendricks,Terrell Group,1780.95,2023-10-26,Transporte
Jackie Nelson,Craig-Martinez,1039.83,2024-06-17,Eletrônicos
Shawna Best,Oneill-Scott,891.53,2024-03-18,Educação
Christopher Saunders,Riley PLC,1139.11,2024-10-05,Eletrônicos
Robert Dominguez,Shaffer Ltd,1967.43,2024-02-03,Eletrônicos
Amy Stewart,Wright-Miller,809.73,2024-09-26,Educação
Deborah Smith,Dean Ltd,828.47,2023-07-21,Moradia
Michael Hubbard,Jarvis-Rodgers,1737.38,2024-03-01,Eletrônicos
Deborah Davis,Mcdonald-Boyle,1863.19,2023-10-18,Lazer
Robert Rios,"Wells, Robles and Johnson",1866.71,2024-12-28,Outros
Spencer Peters,"Fitzpatrick, Jones and Morgan",1259.89,2025-06-14,Alimentação
Jennifer Schneider,Payne Group,203.16,2024-02-19,Vestuário
Jesse Miller,Byrd-Smith,52.72,2024-12-25,Alimentação
Lisa Lopez,Stevenson PLC,1706.68,2023-11-26,Lazer
Bob Mullins,Webb-Potts,1804.59,2025-04-21,Educação
Kendra Ruiz,Lambert-Kelley,309.7,2024-01-12,Educação
William Mcgrath,Mcdonald-Boyle,1682.95,2024-03-18,Lazer
Brenda Jones,Terrell Group,1819.4,2023-10-18,Moradia
John Reeves,Miller-Owens,683.86,2023-12-06,Eletrônicos
Randy Caldwell,Sanders LLC,613.45,2024-09-01,Outros
Meghan Snow,Martin-Anderson,1802.63,2024-11-21,Eletrônicos
Kevin Serrano,Jones-Woods,836.22,2023-07-25,Outros
Adam Mosley,Stuart-Camacho,1240.39,2024-04-29,Eletrônicos
Russell Doyle,West-Bryant,1109.12,2024-07-11,Moradia
Shelly Kelley,Solomon-Miller,1966.77,2024-01-22,Educação
Richard Fuentes,Owens-May,235.59,2025-03-02,Eletrônicos
Bryan Ryan,"Gomez, Diaz and Williams",895.36,2025-05-01,Alimentação
Angela Evans,Rivera-Graham,1761.66,2025-04-08,Moradia
Robert Cole,Mcdonald-Boyle,958.99,2025-02-21,Alimentação
Mark Walker,Kelley LLC,1379.36,2025-02-01,Lazer
Bob Mullins,Webb-Potts,887.46,2024-05-18,Eletrônicos
Sandra Hopkins,Jordan-Odom,1789.04,2023-11-27,Moradia
Victoria Jones,Williams LLC,1346.81,2024-06-10,Lazer
Jennifer Braun,Bailey Ltd,686.16,2024-12-12,Vestuário
Jennifer Braun,Bailey Ltd,746.24,2023-09-08,Eletrônicos
Angela Evans,Rivera-Graham,1251.82,2025-03-10,Transporte
Evan Townsend,Kelley-Grant,307.48,2024-07-08,Educação
Kimberly Gillespie,Hernandez-Fox,1272.1,2025-02-13,Saúde
James Brown,Rivera-Graham,1587.64,2024-08-22,Vestuário
Patricia Brown,"Anderson, Roth and Holden",1209.6,2024-08-20,Moradia
Morgan Kennedy,"Medina, Barnes and Greene",1247.51,2024-02-25,Transporte
Jesus Johnson,Wong-Weber,736.78,2023-09-15,Saúde
Mr. Larry Lowery,"Jacobson, Fritz and Owen",1031.71,2024-10-02,Outros
Heather Marshall,Williams LLC,1832.69,2025-05-02,Moradia
Shawn Dominguez,Cameron-Black,1812.58,2024-12-30,Alimentação
Michael Jones,Sims Ltd,485.22,2023-12-18,Saúde
Michael Harrington,Jordan-Odom,903.37,2023-10-26,Transporte
David Payne,"Francis, Bell and Foster",90.51,2024-02-19,Moradia
Mary Durham,Sims Ltd,169.69,2024-01-23,Outros
Billy Frazier,Silva PLC,269.99,2024-06-04,Alimentação
Spencer Peters,"Fitzpatrick, Jones and Morgan",1151.57,2024-03-03,Saúde
Robert Cole,Mcdonald-Boyle,407.29,2023-09-29,Moradia
Robert Cole,Mcdonald-Boyle,782.91,2024-10-09,Saúde
Daniel Graham,Jones-Boyd,756.53,2024-10-13,Lazer
Mark Jacobs,Holmes-Kennedy,1030.04,2024-04-20,Transporte
John Malone,Lutz-Welch,1417.49,2024-08-15,Eletrônicos
Shawna Best,Oneill-Scott,699.02,2024-03-22,Saúde
Thomas Hendricks,Terrell Group,393.88,2024-09-06,Saúde
Alan Evans,Byrd-Smith,175.78,2023-11-30,Moradia
Ricardo Sutton,"Garcia, Williams and Sullivan",1346.9,2025-06-05,Lazer
Justin Ramsey,Young-Fuentes,1022.49,2025-03-20,Vestuário
Laura Ward,"Gomez, Diaz and Williams",1623.4,2024-09-27,Vestuário
Jaime Stuart,Mcdonald-Boyle,158.09,2023-07-25,Lazer
Erika Scott,"Smith, Guzman and Brown",316.47,2025-06-07,Educação
Diane Hughes,"Smith, Reed and Figueroa",183.9,2023-10-22,Vestuário
Kimberly Ochoa,"Myers, Wilson and Thomas",1448.98,2024-08-10,Lazer
Erin May,Cameron-Black,1818.73,2024-12-05,Vestuário
Jennifer Powers,Scott-Flowers,1169.68,2023-06-18,Moradia
Andrew Walters,"Bennett, Acevedo and Rogers",1748.07,2024-12-19,Vestuário
Michael Hill,Stevenson PLC,252.74,2024-11-03,Eletrônicos
Martin Williams,Jones-Boyd,1836.82,2025-03-12,Vestuário
Jack Davis,Riley PLC,192.49,2025-03-17,Vestuário
Thomas Scott,"Jacobson, Fritz and Owen",871.61,2025-02-13,Educação
Nicholas Parker,Jarvis-Rodgers,109.5,2025-02-20,Vestuário
Brian Lee,Solomon-Miller,647.61,2023-10-29,Outros
Mr. Larry Lowery,"Jacobson, Fritz and Owen",957.33,2024-05-19,Educação
Kevin Gardner,Thompson PLC,1975.98,2024-01-12,Eletrônicos
Laura Bryant,Shaffer Ltd,583.25,2025-04-15,Alimentação
Emily Young,Mcdaniel-Key,378.01,2025-02-27,Alimentação
Ruben Brown,Morris-Clark,359.94,2023-08-25,Educação
Michael Harrington,Jordan-Odom,296.35,2024-06-21,Outros
Jeanette Miller,Oneill-Scott,1945.72,2024-04-04,Vestuário
Thomas Freeman,Jarvis-Rodgers,1525.72,2024-04-03,Educação
Jack Davis,Riley PLC,1698.75,2024-11-17,Educação
Kevin Serrano,Jones-Woods,795.39,2025-01-03,Saúde
Kristina Brady,"Medina, Barnes and Greene",830.44,2023-12-10,Saúde
Beth Solis,"Wells, Robles and Johnson",858.78,2024-11-24,Lazer
Spencer Peters,"Fitzpatrick, Jones and Morgan",489.13,2023-08-15,Alimentação
Parker Cook,"Johnson, Allison and Acevedo",1782.21,2024-11-12,Saúde
Jennifer Palmer,"Medina, Barnes and Greene",1511.05,2023-09-12,Vestuário
Jennifer Martinez,Woods-Munoz,134.94,2025-04-01,Lazer
Heather Marshall,Williams LLC,1468.5,2024-03-02,Transporte
Ruben Brown,Morris-Clark,1351.33,2024-10-25,Moradia
Jason Ramos,Swanson and Sons,1954.56,2025-06-03,Vestuário
Shawn Dominguez,Cameron-Black,1180.4,2025-02-10,Lazer
James Guerrero,Walsh Group,1365.35,2024-09-27,Vestuário
Edward Hardy,"Huynh, Black and Barajas",532.25,2024-01-04,Lazer
Michelle Bentley,Jordan-Odom,722.64,2024-11-01,Moradia
Andrew Marquez,Stevenson PLC,1004.39,2023-10-29,Moradia
Kevin Mcguire,"Francis, Bell and Foster",1096.37,2023-10-21,Educação
Molly Dominguez,"Garcia, Williams and Sullivan",1178.59,2025-01-12,Alimentação
Charles Craig,"Myers, Wilson and Thomas",712.26,2024-12-09,Moradia
Angela Velazquez,Riley PLC,928.66,2023-10-22,Transporte
Mrs. Felicia Gardner,Shaffer Ltd,1738.68,2023-12-18,Moradia
James Smith,Solomon-Miller,313.84,2023-10-15,Transporte
Justin Lopez,"Myers, Wilson and Thomas",1899.77,2024-05-12,Eletrônicos
Timothy Berry,Jones-Boyd,640.28,2023-09-22,Eletrônicos
Valerie Key,Riley PLC,737.76,2024-05-09,Transporte
Rachel Ellis,Holmes-Kennedy,1636.64,2025-05-12,Eletrônicos
Deborah Smith,Dean Ltd,1189.94,2023-11-15,Eletrônicos
Beth Solis,"Wells, Robles and Johnson",198.74,2024-10-31,Transporte
